isco88,n_onetsoc,n_matched_althoff,auto_genai,augment_genai,atlas_exposure,match,isco08_label_approx
1110,1,1,0.1333333333333333,1.2666666666666668,0.5128083491461101,direct,
1120,2,2,0.2801761446896795,1.2856941443234797,0.7240399385560676,direct,Managing directors and chief executives
1130,1,1,0.2543157862197894,1.2804547367368166,0.5666282642089093,direct,
1141,2,1,0.4867052047606937,1.3070520231269367,0.8876008064516129,direct,
1142,1,1,0.3791399457913994,1.2944590473445905,1.2068439407149085,direct,
1143,1,0,,,,direct,
1210,1,1,0.2543157862197894,1.2804547367368166,0.5666282642089093,direct,
1221,9,7,0.1086597677539752,1.2391642793612563,1.1455249030366095,direct,Sales and marketing managers
1222,3,3,0.29484143115436573,1.286660363473827,1.2830115672857607,direct,Advertising and public relations managers
1223,2,2,0.2049919097847412,1.2699199245859054,1.143951612903226,direct,Research and development managers
1224,3,2,0.27609014043972185,1.2765533841671974,1.417372311827957,direct,
1225,3,3,0.21688137705313246,1.2644200192615083,1.397410218567714,direct,
1226,7,6,0.2810022826199043,1.2646821557397951,1.4361220294569441,direct,
1227,6,5,0.28889712255139943,1.276147867279145,1.2894033282646218,direct,
1228,3,2,0.12303933723245361,1.2819761485054095,1.1350806451612903,direct,
1229,1,0,,,,direct,
1231,4,3,0.5227538476545601,1.294488971168328,1.5398909753098098,direct,
1232,3,3,0.4220298162982314,1.2980296481689566,1.2402437097684083,direct,
1233,2,2,0.24038265780108345,1.2893101986319238,1.15611834245111,direct,
1234,2,2,0.346924659196804,1.29824997245175,1.1217948717948718,direct,
1235,4,3,0.4371361953662222,1.2874847808887184,1.3346404939146876,direct,
1236,1,1,0.5366153853169231,1.2996153846019232,1.0869175627240142,direct,
1237,4,3,0.31513287235894816,1.2902089256427234,0.924644467568505,direct,
1239,2,1,0.2222357122221143,1.2541206460670349,1.3333333333333335,direct,
1311,10,8,0.11882008979241568,1.2460040102984822,1.1420434837448366,direct,Agricultural and forestry production managers
1312,3,3,0.29484143115436573,1.286660363473827,1.2830115672857607,direct,Aquaculture and fisheries production managers
1313,3,3,0.1999753878769938,1.277907325343625,1.1409946236559139,direct,
1314,3,3,0.24737420831364756,1.2823296317311532,1.3232750896057348,direct,
1315,5,5,0.1793445611248609,1.2714424709590688,1.331827825216108,direct,
1316,8,7,0.2660402858264349,1.273651306052873,1.3097958269329237,direct,
1317,7,6,0.20631435037189275,1.27011940654602,1.260747309459684,direct,
1318,4,3,0.18291376572074816,1.2793727071122176,1.0418804985337244,direct,
1319,7,5,0.30055895074389977,1.286942452000867,1.2054806241647076,direct,
2111,3,2,0.26818322769142,1.301716162654028,0.8096774193548386,direct,Physicists and astronomers
2112,2,1,0.5317478688254446,1.30070422561831,1.4606261859582543,direct,Meteorologists
2113,2,1,0.1526717595572518,1.2846955875448705,1.4537634408602151,direct,Chemists
2114,2,1,0.2365143216016575,1.2966637534633014,1.0568450039339103,direct,Geologists and geophysicists
2121,7,6,0.3420504520072796,1.2952260659638108,1.038507385684805,direct,
2122,1,1,0.4505295417137681,1.3289576367528986,1.6824970131421744,direct,
2131,10,9,0.4374992085338713,1.3128292838925661,,direct,"Biologists, botanists, zoologists and related professionals"
2132,1,1,0.6449934965448634,1.3993498046863455,,direct,"Farming, forestry and fisheries advisers"
2133,0,0,0.5412463525393674,1.3560895442894558,,impute_3dig,Environmental protection professionals
2139,1,0,,,,direct,
2141,3,3,0.22084627244323926,1.2906998856823912,1.133136200716846,direct,Industrial and production engineers
2142,0,0,0.32060673112430854,1.2965739207817528,1.3035518739738683,impute_3dig,Civil engineers
2143,1,1,0.2913659765503867,1.2858634021099615,1.2835181451612903,direct,Environmental engineers
2144,4,4,0.27802602462917914,1.303379399221261,1.2044467629145048,direct,Mechanical engineers
2145,1,1,0.5919295259147486,1.3,1.5221774193548387,direct,Chemical engineers
